Sample,Jul_15,Jul_30,Aug_06,Aug_15,Aug_30,XX_UTM,YY_UTM
1,12,15,18,22,24,605659.38,4571139.139
2,12,15,18,22,23,605708.165,4571138.685
3,7,10,13,16,20,605734.263,4571136.775
4,5,8,11,14,16,605814.237,4571137.684
5,11,14,17,21,23,605835.06,4571136.775
6,9,12,15,18,20,605857.339,4571139.594
7,7,10,13,16,19,605880.435,4571138.139
8,4,6,11,13,15,605641.921,4571161.508
9,13,16,19,22,24,605668.474,4571161.145
10,13,16,19,23,23,605694.116,4571160.599
11,11,14,18,22,23,605715.713,4571163.782
12,10,13,16,19,22,605743.538,4571161.599
13,7,10,13,16,20,605766.089,4571160.69
14,9,12,14,18,19,605793.06,4571162.594
15,6,9,12,15,17,605815.601,4571164.146
16,10,13,16,19,21,605843.06,4571162.594
17,12,15,18,21,23,605869.069,4571162.145
18,13,16,19,23,24,605894.893,4571162.327
19,10,13,16,20,22,605655.652,4571187.97
20,16,19,22,26,27,605677.885,4571188.879
21,14,17,20,24,24,605728.06,4571187.594
22,9,12,15,19,21,605753.06,4571187.594
23,4,7,10,13,16,605778.06,4571187.594
24,8,11,14,17,20,605803.06,4571187.594
25,15,18,21,24,26,605828.06,4571187.594
26,4,6,9,12,15,605853.06,4571187.594
27,9,12,15,18,21,605663.06,4571212.594
28,11,14,18,22,23,605688.888,4571210.43
29,5,8,10,13,17,605759.86,4571219.887
30,8,11,15,19,21,605789.049,4571213.976
31,15,18,21,25,25,605812.418,4571211.43
32,12,15,17,20,22,605838.06,4571212.594
33,13,16,19,23,24,605863.704,4571213.976
34,16,19,22,26,26,605888.346,4571213.885
35,9,12,14,18,20,605670.429,4571239.346
36,9,12,15,18,21,605700.663,4571238.8
37,4,7,11,14,17,605724.578,4571238.619
38,7,10,13,17,19,605746.675,4571237.255
39,3,6,9,12,17,605774.136,4571233.89
40,4,7,10,13,18,605798.506,4571236.436
41,7,10,13,16,19,605823.421,4571240.255
42,5,8,10,13,16,605847.245,4571238.619
43,12,15,18,21,22,605874.343,4571238.709
44,5,7,10,13,16,605921.809,4571231.981
47,9,12,15,19,21,605733.217,4571263.716
48,5,6,10,13,16,605759.405,4571261.988
49,5,8,11,15,17,605783.138,4571263.807
50,15,18,21,25,25,605808.06,4571262.594
51,8,10,12,16,17,605835.652,4571263.791
52,14,17,19,23,24,605858.231,4571263.477
53,7,10,13,17,19,605881.617,4571260.988
54,7,10,12,15,18,605905.351,4571263.352
55,14,17,20,24,25,605937.086,4571262.897
56,10,13,16,20,23,605741.855,4571288.358
57,11,14,17,21,22,605767.316,4571285.267
58,16,19,21,25,26,605793.777,4571288.449
59,8,12,15,18,20,605844.892,4571285.403
60,9,12,14,18,20,605867.941,4571286.343
61,7,11,13,16,19,605728.034,4571313.728
62,8,10,13,16,17,605752.767,4571313.728
63,9,12,14,17,19,605777.501,4571309.363
64,7,10,13,17,18,605804.069,4571312.34
65,13,16,19,22,24,605688.751,4571338.643
66,7,10,13,16,18,605714.212,4571337.461
67,6,9,12,16,18,605737.582,4571336.097
68,5,8,11,14,17,605698.026,4571361.194
69,14,18,20,24,25,605723.669,4571364.286
70,6,10,13,16,18,605741.674,4571355.375
