Sample,Jul_15,Jul_30,Aug_06,Aug_15,Aug_30,XX_UTM,YY_UTM,Id,NDVI1
1,12,15,18,22,24,605659.38,4571139.139,1,0.533333361148834
2,12,15,18,22,23,605708.165,4571138.685,2,0.274725288152695
3,7,10,13,16,20,605734.263,4571136.775,3,0.311111122369766
4,5,8,11,14,16,605814.237,4571137.684,4,0.200000002980232
5,11,14,17,21,23,605835.06,4571136.775,5,0.345454543828964
6,9,12,15,18,20,605857.339,4571139.594,6,0.311111122369766
7,7,10,13,16,19,605880.435,4571138.139,7,0.367647051811218
8,4,6,11,13,15,605641.921,4571161.508,8,0.310924381017685
9,13,16,19,22,24,605668.474,4571161.145,9,0.328767120838165
10,13,16,19,23,23,605694.116,4571160.599,10,0.428571432828903
11,11,14,18,22,23,605715.713,4571163.782,11,0.327433615922928
12,10,13,16,19,22,605743.538,4571161.599,12,0.383333325386047
13,7,10,13,16,20,605766.089,4571160.69,13,0.209302321076393
14,9,12,14,18,19,605793.06,4571162.594,14,0.075471699237823
15,6,9,12,15,17,605815.601,4571164.146,15,0.283333331346512
16,10,13,16,19,21,605843.06,4571162.594,16,0.129032254219055
17,12,15,18,21,23,605869.069,4571162.145,17,0.261904776096344
18,13,16,19,23,24,605894.893,4571162.327,18,0.296703308820724
19,10,13,16,20,22,605655.652,4571187.97,19,0.453125
20,16,19,22,26,27,605677.885,4571188.879,20,0.474576264619827
21,14,17,20,24,24,605728.06,4571187.594,21,0.284768223762512
22,9,12,15,19,21,605753.06,4571187.594,22,0.125
23,4,7,10,13,16,605778.06,4571187.594,23,0.0
24,8,11,14,17,20,605803.06,4571187.594,24,0.095238097012043
25,15,18,21,24,26,605828.06,4571187.594,25,0.310344815254211
26,4,6,9,12,15,605853.06,4571187.594,26,-0.007194244768471
27,9,12,15,18,21,605663.06,4571212.594,27,0.111111111938953
28,11,14,18,22,23,605688.888,4571210.43,28,0.526315808296204
29,5,8,10,13,17,605759.86,4571219.887,29,0.407407402992249
30,8,11,15,19,21,605789.049,4571213.976,30,0.136842101812363
31,15,18,21,25,25,605812.418,4571211.43,31,0.3125
32,12,15,17,20,22,605838.06,4571212.594,32,0.227722778916359
33,13,16,19,23,24,605863.704,4571213.976,33,0.256198346614838
34,16,19,22,26,26,605888.346,4571213.885,34,0.266055047512054
35,9,12,14,18,20,605670.429,4571239.346,35,0.3584905564785
36,9,12,15,18,21,605700.663,4571238.8,36,0.354838699102402
37,4,7,11,14,17,605724.578,4571238.619,37,0.366666674613953
38,7,10,13,17,19,605746.675,4571237.255,38,0.35537189245224
39,3,6,9,12,17,605774.136,4571233.89,39,0.430894315242767
40,4,7,10,13,18,605798.506,4571236.436,40,0.223529413342476
41,7,10,13,16,19,605823.421,4571240.255,41,0.333333343267441
42,5,8,10,13,16,605847.245,4571238.619,42,0.333333343267441
43,12,15,18,21,22,605874.343,4571238.709,43,0.319727897644043
44,5,7,10,13,16,605921.809,4571231.981,44,0.408695638179779
47,9,12,15,19,21,605733.217,4571263.716,47,0.28571429848671
48,5,6,10,13,16,605759.405,4571261.988,48,0.368421047925949
49,5,8,11,15,17,605783.138,4571263.807,49,0.327433615922928
50,15,18,21,25,25,605808.06,4571262.594,50,0.25842696428299
51,8,10,12,16,17,605835.652,4571263.791,51,0.20833332836628
52,14,17,19,23,24,605858.231,4571263.477,52,0.279279291629791
53,7,10,13,17,19,605881.617,4571260.988,53,0.261261254549026
54,7,10,12,15,18,605905.351,4571263.352,54,0.315789461135864
55,14,17,20,24,25,605937.086,4571262.897,55,0.350427359342575
56,10,13,16,20,23,605741.855,4571288.358,56,0.310924381017685
57,11,14,17,21,22,605767.316,4571285.267,57,0.346153855323792
58,16,19,21,25,26,605793.777,4571288.449,58,0.333333343267441
59,8,12,15,18,20,605844.892,4571285.403,59,0.327868849039078
60,9,12,14,18,20,605867.941,4571286.343,60,0.274336278438568
61,7,11,13,16,19,605728.034,4571313.728,61,0.272727280855179
62,8,10,13,16,17,605752.767,4571313.728,62,0.302752286195755
63,9,12,14,17,19,605777.501,4571309.363,63,0.303571432828903
64,7,10,13,17,18,605804.069,4571312.34,64,0.255813956260681
65,13,16,19,22,24,605688.751,4571338.643,65,0.339449554681778
66,7,10,13,16,18,605714.212,4571337.461,66,0.345794379711151
67,6,9,12,16,18,605737.582,4571336.097,67,0.272727280855179
68,5,8,11,14,17,605698.026,4571361.194,68,0.29824560880661
69,14,18,20,24,25,605723.669,4571364.286,69,0.292307704687119
70,6,10,13,16,18,605741.674,4571355.375,70,0.293103456497192
